Unnamed: 0,Protein,idx
10001,ENSP00000354859,10001
14230,ENSP00000381333,14230
15252,ENSP00000291281,15252
16970,ENSP00000430684,16970
3396,ENSP00000270349,3396
8811,ENSP00000343782,8811
9842,ENSP00000353791,9842
10283,ENSP00000308549,10283
16605,ENSP00000372224,16605
1486,ENSP00000247881,1486
4389,ENSP00000291823,4389
14457,ENSP00000383558,14457
9194,ENSP00000347717,9194
13474,ENSP00000339007,13474
17423,ENSP00000441949,17423
9661,ENSP00000352157,9661
8975,ENSP00000345502,8975
18538,ENSP00000357615,18538
9099,ENSP00000346768,9099
12853,ENSP00000369960,12853
3383,ENSP00000270162,3383
14209,ENSP00000329623,14209
7771,ENSP00000262017,7771
13805,ENSP00000378548,13805
19104,ENSP00000320447,19104
6585,ENSP00000317578,6585
6530,ENSP00000316786,6530
16686,ENSP00000339377,16686
8771,ENSP00000343325,8771
4920,ENSP00000298223,4920
2447,ENSP00000262027,2447
17553,ENSP00000259470,17553
9466,ENSP00000308774,9466
7444,ENSP00000328230,7444
9445,ENSP00000350024,9445
12400,ENSP00000367102,12400
16961,ENSP00000430432,16961
2431,ENSP00000261891,2431
16799,ENSP00000427015,16799
18786,ENSP00000261991,18786
881,ENSP00000228740,881
19135,ENSP00000355884,19135
17798,ENSP00000452401,17798
377,ENSP00000216160,377
4501,ENSP00000293897,4501
12294,ENSP00000366416,12294
10817,ENSP00000358730,10817
3403,ENSP00000270570,3403
14102,ENSP00000369460,14102
18282,ENSP00000340191,18282
12603,ENSP00000368438,12603
10717,ENSP00000358165,10717
4136,ENSP00000286614,4136
9462,ENSP00000350198,9462
11583,ENSP00000362334,11583
18383,ENSP00000302707,18383
16896,ENSP00000285900,16896
2049,ENSP00000258042,2049
5449,ENSP00000303887,5449
14764,ENSP00000386201,14764
18445,ENSP00000246549,18445
16485,ENSP00000419782,16485
17918,ENSP00000455607,17918
15539,ENSP00000400312,15539
3085,ENSP00000265689,3085
3665,ENSP00000276198,3665
7163,ENSP00000324806,7163
6030,ENSP00000310305,6030
6877,ENSP00000321326,6877
5809,ENSP00000307822,5809
16973,ENSP00000309818,16973
14410,ENSP00000371138,14410
4410,ENSP00000292303,4410
7850,ENSP00000332812,7850
4487,ENSP00000293780,4487
2517,ENSP00000262352,2517
10088,ENSP00000355279,10088
1145,ENSP00000237612,1145
9662,ENSP00000352162,9662
15090,ENSP00000390651,15090
15326,ENSP00000373864,15326
9856,ENSP00000353904,9856
1943,ENSP00000256460,1943
3023,ENSP00000265164,3023
14696,ENSP00000385751,14696
7338,ENSP00000327025,7338
8710,ENSP00000342560,8710
858,ENSP00000228027,858
11834,ENSP00000351755,11834
15283,ENSP00000394624,15283
13921,ENSP00000303351,13921
4701,ENSP00000296181,4701
14879,ENSP00000376177,14879
6102,ENSP00000311032,6102
9889,ENSP00000354280,9889
16895,ENSP00000428982,16895
17260,ENSP00000438144,17260
15935,ENSP00000409378,15935
15204,ENSP00000234626,15204
13253,ENSP00000373684,13253
18419,ENSP00000400036,18419
15214,ENSP00000393312,15214
18959,ENSP00000264357,18959
16606,ENSP00000348897,16606
9039,ENSP00000346148,9039
1251,ENSP00000241256,1251
4137,ENSP00000286621,4137
428,ENSP00000216540,428
7818,ENSP00000332591,7818
3739,ENSP00000278379,3739
15281,ENSP00000389338,15281
11136,ENSP00000347858,11136
11291,ENSP00000361014,11291
2635,ENSP00000263025,2635
2222,ENSP00000260302,2222
7789,ENSP00000332274,7789
5422,ENSP00000303522,5422
753,ENSP00000224356,753
3598,ENSP00000274545,3598
588,ENSP00000220809,588
15244,ENSP00000393847,15244
14544,ENSP00000362810,14544
2551,ENSP00000262506,2551
6619,ENSP00000318077,6619
1443,ENSP00000246553,1443
10214,ENSP00000355920,10214
10736,ENSP00000358301,10736
6307,ENSP00000286955,6307
6067,ENSP00000310649,6067
10268,ENSP00000356130,10268
1382,ENSP00000245312,1382
12592,ENSP00000234179,12592
5318,ENSP00000302564,5318
169,ENSP00000171757,169
489,ENSP00000217961,489
4509,ENSP00000294066,4509
11746,ENSP00000363115,11746
1971,ENSP00000256906,1971
13955,ENSP00000328973,13955
870,ENSP00000228476,870
7827,ENSP00000332659,7827
15313,ENSP00000359643,15313
8779,ENSP00000343428,8779
17690,ENSP00000202788,17690
3724,ENSP00000277942,3724
8385,ENSP00000339260,8385
1859,ENSP00000255008,1859
2434,ENSP00000261900,2434
8171,ENSP00000336740,8171
16013,ENSP00000411099,16013
14576,ENSP00000332995,14576
11841,ENSP00000363596,11841
10221,ENSP00000355930,10221
7168,ENSP00000324856,7168
10873,ENSP00000358963,10873
13489,ENSP00000376432,13489
10654,ENSP00000271657,10654
11658,ENSP00000350941,11658
8635,ENSP00000341826,8635
18023,ENSP00000459962,18023
5532,ENSP00000304845,5532
13822,ENSP00000378702,13822
17737,ENSP00000450895,17737
17470,ENSP00000301264,17470
11718,ENSP00000301974,11718
10998,ENSP00000359532,10998
15125,ENSP00000391592,15125
4696,ENSP00000296140,4696
11654,ENSP00000362649,11654
13975,ENSP00000260433,13975
11627,ENSP00000362549,11627
8788,ENSP00000343526,8788
8698,ENSP00000342385,8698
4409,ENSP00000292301,4409
7089,ENSP00000323872,7089
8127,ENSP00000335544,8127
13141,ENSP00000372067,13141
14979,ENSP00000377947,14979
11056,ENSP00000359793,11056
6457,ENSP00000315602,6457
3568,ENSP00000274093,3568
7394,ENSP00000327724,7394
9838,ENSP00000353767,9838
16458,ENSP00000273430,16458
9735,ENSP00000352833,9735
13626,ENSP00000360773,13626
2325,ENSP00000261402,2325
10552,ENSP00000357461,10552
12167,ENSP00000365596,12167
3705,ENSP00000277010,3705
2,ENSP00000001008,2
907,ENSP00000229239,907
10827,ENSP00000358777,10827
12914,ENSP00000370373,12914
2350,ENSP00000261523,2350
11664,ENSP00000362702,11664
2869,ENSP00000264318,2869
16826,ENSP00000265517,16826
10971,ENSP00000359424,10971
2451,ENSP00000262039,2451
15383,ENSP00000397026,15383
14442,ENSP00000364252,14442
13821,ENSP00000378699,13821
11851,ENSP00000363643,11851
7237,ENSP00000325748,7237
16821,ENSP00000365759,16821
12989,ENSP00000370891,12989
13607,ENSP00000308137,13607
1914,ENSP00000256104,1914
4368,ENSP00000291539,4368
19216,ENSP00000383210,19216
7363,ENSP00000327417,7363
1098,ENSP00000234961,1098
7738,ENSP00000331736,7738
6543,ENSP00000316948,6543
305,ENSP00000212015,305
5680,ENSP00000306512,5680
2752,ENSP00000263686,2752
8268,ENSP00000337825,8268
3900,ENSP00000281806,3900
2392,ENSP00000261733,2392
16410,ENSP00000418823,16410
9633,ENSP00000338072,9633
19130,ENSP00000363621,19130
5348,ENSP00000302811,5348
4774,ENSP00000296677,4774
9125,ENSP00000347032,9125
15878,ENSP00000407546,15878
3143,ENSP00000266086,3143
16068,ENSP00000412365,16068
3572,ENSP00000274192,3572
13911,ENSP00000379282,13911
15966,ENSP00000410294,15966
