drug,protein,ensp_id,sig_id
CHEMBL78310,Q9UPE1,ENSP00000359119,REP.A023_YAPC_24H:D13
CHEMBL392464,Q9UPE1,ENSP00000359119,REP.A003_A375_24H:A13
CHEMBL428594,Q9UPE1,ENSP00000359119,REP.A012_A375_24H:A19
CHEMBL3589663,Q9UPE1,ENSP00000359119,LJP009_NPC.TAK_24H:I01
CHEMBL80963,Q9UPE1,ENSP00000359119,REP.A023_A375_24H:D13
CHEMBL3604497,Q9UPE1,ENSP00000359119,REP.A022_PC3_24H:I07
CHEMBL147611,Q9UPE1,ENSP00000359119,REP.A018_MCF7_24H:F19
CHEMBL2112842,Q9UPE1,ENSP00000359119,REP.A018_MCF7_24H:C13
CHEMBL400236,Q9UPE1,ENSP00000359119,REP.A008_PC3_24H:O07
CHEMBL3286556,Q9UPE1,ENSP00000359119,LJP008_NPC.CAS9_24H:L19
CHEMBL297068,Q9UPE1,ENSP00000359119,REP.A026_HELA_24H:M01
CHEMBL3594232,Q9UPE1,ENSP00000359119,REP.A027_HT29_24H:E13
CHEMBL3286556,Q9UPE1,ENSP00000359119,LPROT001_NPC.TAK_6H:G18
CHEMBL195351,Q9UPE1,ENSP00000359119,REP.A018_PC3_24H:D13
CHEMBL142153,Q9UPE1,ENSP00000359119,REP.A017_HT29_24H:I01
CHEMBL202656,Q9UPE1,ENSP00000359119,REP.A001_HT29_24H:C01
CHEMBL3604497,Q9UPE1,ENSP00000359119,LJP007_MCF7_24H:E01
CHEMBL42557,Q9UPE1,ENSP00000359119,LJP008_PC3_24H:D19
CHEMBL256154,Q9UPE1,ENSP00000359119,REP.A011_MCF7_24H:O07
CHEMBL1214932,Q9UPE1,ENSP00000359119,REP.A014_HA1E_24H:P01
CHEMBL60270,Q9UPE1,ENSP00000359119,REP.A011_A375_24H:E13
CHEMBL144493,Q9UPE1,ENSP00000359119,REP.A005_PC3_24H:F13
CHEMBL361875,Q9UPE1,ENSP00000359119,REP.A012_HT29_24H:K01
CHEMBL434,Q9UPE1,ENSP00000359119,REP.A014_PC3_24H:C13
CHEMBL59532,Q9UPE1,ENSP00000359119,REP.A018_YAPC_24H:N01
CHEMBL181840,Q9UPE1,ENSP00000359119,REP.A019_MCF7_24H:D13
CHEMBL193726,Q9UPE1,ENSP00000359119,LJP005_HS578T_24H:P01
CHEMBL170724,Q9UPE1,ENSP00000359119,REP.A024_HA1E_24H:L07
CHEMBL356505,Q9UPE1,ENSP00000359119,REP.A018_PC3_24H:F19
CHEMBL57347,Q9UPE1,ENSP00000359119,REP.A006_MCF7_24H:C01
CHEMBL3604499,Q9UPE1,ENSP00000359119,LJP007_NPC_24H:E01
CHEMBL128184,Q9UPE1,ENSP00000359119,REP.A006_A375_24H:H07
CHEMBL264349,Q9UPE1,ENSP00000359119,REP.A005_HA1E_24H:F13
CHEMBL506033,Q9UPE1,ENSP00000359119,REP.A018_HA1E_24H:E13
