ensp_index,ensp_id
0,ENSP00000359119
1,ENSP00000310447
2,ENSP00000217185
3,ENSP00000238081
4,ENSP00000244020
5,ENSP00000258962
6,ENSP00000227524
7,ENSP00000362900
8,ENSP00000325448
9,ENSP00000337194
10,ENSP00000472998
11,ENSP00000274458
12,ENSP00000253363
13,ENSP00000362820
14,ENSP00000377892
15,ENSP00000310723
16,ENSP00000357292
17,ENSP00000304370
18,ENSP00000380785
19,ENSP00000316950
20,ENSP00000229214
21,ENSP00000290524
22,ENSP00000265388
23,ENSP00000300413
24,ENSP00000392057
25,ENSP00000291552
26,ENSP00000218348
27,ENSP00000307863
28,ENSP00000301740
29,ENSP00000346634
30,ENSP00000360922
31,ENSP00000412566
32,ENSP00000362931
33,ENSP00000348984
34,ENSP00000293872
35,ENSP00000230321
36,ENSP00000305556
37,ENSP00000367697
38,ENSP00000358765
39,ENSP00000375081
40,ENSP00000317331
41,ENSP00000302961
42,ENSP00000217901
43,ENSP00000349781
44,ENSP00000386226
45,ENSP00000316948
46,ENSP00000363745
47,ENSP00000378505
48,ENSP00000358999
49,ENSP00000468348
50,ENSP00000363985
51,ENSP00000362469
52,ENSP00000360966
53,ENSP00000352216
54,ENSP00000392709
55,ENSP00000356972
56,ENSP00000263774
57,ENSP00000418842
58,ENSP00000259037
59,ENSP00000233627
60,ENSP00000252102
61,ENSP00000327268
62,ENSP00000322450
63,ENSP00000362873
64,ENSP00000274137
65,ENSP00000296684
66,ENSP00000315774
67,ENSP00000007516
68,ENSP00000369176
69,ENSP00000360492
70,ENSP00000398290
71,ENSP00000299166
72,ENSP00000184266
73,ENSP00000215565
74,ENSP00000266544
75,ENSP00000252711
76,ENSP00000237889
77,ENSP00000247866
78,ENSP00000347988
79,ENSP00000265500
80,ENSP00000330787
81,ENSP00000270517
82,ENSP00000323076
83,ENSP00000358272
84,ENSP00000260361
85,ENSP00000367346
86,ENSP00000339720
87,ENSP00000351737
88,ENSP00000002125
89,ENSP00000306397
90,ENSP00000268379
91,ENSP00000203407
92,ENSP00000309565
93,ENSP00000317159
94,ENSP00000367934
95,ENSP00000466420
96,ENSP00000332887
97,ENSP00000269305
98,ENSP00000307900
99,ENSP00000277865
100,ENSP00000290597
101,ENSP00000350928
102,ENSP00000327589
103,ENSP00000264705
104,ENSP00000259271
105,ENSP00000264220
106,ENSP00000354347
107,ENSP00000402608
108,ENSP00000253778
109,ENSP00000370737
110,ENSP00000360268
111,ENSP00000229416
112,ENSP00000273588
113,ENSP00000359258
114,ENSP00000267436
115,ENSP00000248923
116,ENSP00000379895
117,ENSP00000205402
118,ENSP00000381340
119,ENSP00000355890
120,ENSP00000291670
121,ENSP00000317379
122,ENSP00000263080
123,ENSP00000325548
124,ENSP00000367207
125,ENSP00000252603
126,ENSP00000346827
127,ENSP00000444408
128,ENSP00000276651
129,ENSP00000179259
130,ENSP00000364986
131,ENSP00000260926
132,ENSP00000345774
133,ENSP00000263035
134,ENSP00000258145
135,ENSP00000252785
136,ENSP00000261733
137,ENSP00000387123
138,ENSP00000366927
139,ENSP00000277508
140,ENSP00000341044
141,ENSP00000250971
142,ENSP00000399679
143,ENSP00000445175
144,ENSP00000377527
145,ENSP00000264170
146,ENSP00000220764
147,ENSP00000290271
148,ENSP00000175506
149,ENSP00000416293
150,ENSP00000355518
151,ENSP00000320171
152,ENSP00000358417
153,ENSP00000260985
154,ENSP00000216392
155,ENSP00000313829
156,ENSP00000317912
157,ENSP00000228307
158,ENSP00000264657
159,ENSP00000385720
160,ENSP00000348108
161,ENSP00000275493
162,ENSP00000281156
163,ENSP00000360683
164,ENSP00000269571
165,ENSP00000330341
166,ENSP00000300574
167,ENSP00000371420
168,ENSP00000265171
169,ENSP00000349748
170,ENSP00000338018
171,ENSP00000270202
172,ENSP00000233668
173,ENSP00000264033
174,ENSP00000227507
175,ENSP00000377233
176,ENSP00000400175
177,ENSP00000257904
178,ENSP00000266970
179,ENSP00000265734
180,ENSP00000274376
181,ENSP00000262643
182,ENSP00000230990
183,ENSP00000263734
184,ENSP00000244741
185,ENSP00000388107
186,ENSP00000231509
187,ENSP00000354910
188,ENSP00000228872
189,ENSP00000272317
190,ENSP00000411552
191,ENSP00000304697
192,ENSP00000301396
193,ENSP00000280333
194,ENSP00000344818
195,ENSP00000349275
196,ENSP00000244869
197,ENSP00000290246
198,ENSP00000362082
199,ENSP00000312185
200,ENSP00000261254
201,ENSP00000379092
202,ENSP00000293328
203,ENSP00000382863
204,ENSP00000361021
205,ENSP00000363458
206,ENSP00000455307
207,ENSP00000282478
208,ENSP00000420927
209,ENSP00000245451
210,ENSP00000376943
211,ENSP00000356405
212,ENSP00000264703
213,ENSP00000267101
214,ENSP00000265773
215,ENSP00000354560
216,ENSP00000340989
217,ENSP00000251849
218,ENSP00000216029
219,ENSP00000288602
220,ENSP00000245960
221,ENSP00000309103
222,ENSP00000418447
223,ENSP00000321656
224,ENSP00000339527
225,ENSP00000354558
226,ENSP00000271555
227,ENSP00000263119
228,ENSP00000296474
229,ENSP00000264335
230,ENSP00000298552
231,ENSP00000376176
232,ENSP00000421689
233,ENSP00000292055
234,ENSP00000219476
235,ENSP00000309845
236,ENSP00000300161
237,ENSP00000386896
238,ENSP00000215832
239,ENSP00000323178
240,ENSP00000200181
241,ENSP00000256078
242,ENSP00000384863
243,ENSP00000248975
244,ENSP00000324804
245,ENSP00000309503
246,ENSP00000368880
247,ENSP00000352929
248,ENSP00000358548
249,ENSP00000366863
250,ENSP00000263025
251,ENSP00000325074
252,ENSP00000240139
253,ENSP00000344456
254,ENSP00000324464
255,ENSP00000362946
256,ENSP00000282356
257,ENSP00000270162
258,ENSP00000336591
259,ENSP00000234310
260,ENSP00000353904
261,ENSP00000357564
262,ENSP00000380313
263,ENSP00000340820
264,ENSP00000305777
265,ENSP00000300935
266,ENSP00000261439
267,ENSP00000255641
268,ENSP00000231368
269,ENSP00000302486
270,ENSP00000363377
271,ENSP00000314214
272,ENSP00000247970
273,ENSP00000327850
274,ENSP00000262948
275,ENSP00000307305
276,ENSP00000343701
