,Protein,idx
0,ENSP00000000233,0
1,ENSP00000000412,1
2,ENSP00000001008,2
3,ENSP00000001146,3
4,ENSP00000002125,4
5,ENSP00000002165,5
6,ENSP00000002596,6
7,ENSP00000002829,7
8,ENSP00000003084,8
9,ENSP00000003100,9
10,ENSP00000003302,10
11,ENSP00000004531,11
12,ENSP00000005178,12
13,ENSP00000005226,13
14,ENSP00000005257,14
15,ENSP00000005260,15
16,ENSP00000005284,16
17,ENSP00000005286,17
18,ENSP00000005340,18
19,ENSP00000005386,19
20,ENSP00000005587,20
21,ENSP00000005995,21
22,ENSP00000006015,22
23,ENSP00000006053,23
24,ENSP00000006275,24
25,ENSP00000006526,25
26,ENSP00000006658,26
27,ENSP00000006724,27
28,ENSP00000006777,28
29,ENSP00000007390,29
30,ENSP00000007414,30
31,ENSP00000007699,31
32,ENSP00000007722,32
33,ENSP00000007735,33
34,ENSP00000008391,34
35,ENSP00000008527,35
36,ENSP00000008938,36
37,ENSP00000009041,37
38,ENSP00000009105,38
39,ENSP00000009530,39
40,ENSP00000010299,40
41,ENSP00000011292,41
42,ENSP00000011473,42
43,ENSP00000011619,43
44,ENSP00000011653,44
45,ENSP00000011898,45
46,ENSP00000012049,46
47,ENSP00000012443,47
48,ENSP00000013070,48
49,ENSP00000013125,49
50,ENSP00000013222,50
51,ENSP00000013807,51
52,ENSP00000014914,52
53,ENSP00000014930,53
54,ENSP00000016171,54
55,ENSP00000016913,55
56,ENSP00000016946,56
57,ENSP00000017003,57
58,ENSP00000019103,58
59,ENSP00000019317,59
60,ENSP00000020673,60
61,ENSP00000020926,61
62,ENSP00000023064,62
63,ENSP00000023939,63
64,ENSP00000025008,64
65,ENSP00000025301,65
66,ENSP00000026218,66
67,ENSP00000027335,67
68,ENSP00000029410,68
69,ENSP00000033079,69
70,ENSP00000035307,70
71,ENSP00000035383,71
72,ENSP00000037243,72
73,ENSP00000037502,73
74,ENSP00000037869,74
75,ENSP00000039007,75
76,ENSP00000039989,76
77,ENSP00000040584,77
78,ENSP00000040663,78
79,ENSP00000040738,79
80,ENSP00000040877,80
81,ENSP00000043402,81
82,ENSP00000044462,82
