drug,protein,ensp_id,sig_id
CHEMBL430522,P14416,ENSP00000354859,REP.A024_A375_24H:I01
CHEMBL430522,P14416,ENSP00000354859,REP.A024_HA1E_24H:I01
CHEMBL430522,P14416,ENSP00000354859,REP.A024_HELA_24H:I01
CHEMBL430522,P14416,ENSP00000354859,REP.A024_HT29_24H:I01
CHEMBL430522,P14416,ENSP00000354859,REP.A024_MCF7_24H:I01
CHEMBL430522,P14416,ENSP00000354859,REP.A024_PC3_24H:I01
CHEMBL430522,P14416,ENSP00000354859,REP.A024_YAPC_24H:I01
CHEMBL329398,P14416,ENSP00000354859,REP.A027_A375_24H:E13
CHEMBL329398,P14416,ENSP00000354859,REP.A027_HA1E_24H:E13
CHEMBL329398,P14416,ENSP00000354859,REP.A027_HELA_24H:E13
CHEMBL329398,P14416,ENSP00000354859,REP.A027_HT29_24H:E13
CHEMBL329398,P14416,ENSP00000354859,REP.A027_MCF7_24H:E13
CHEMBL329398,P14416,ENSP00000354859,REP.A027_PC3_24H:E13
CHEMBL329398,P14416,ENSP00000354859,REP.A027_YAPC_24H:E13
CHEMBL3298895,P14416,ENSP00000354859,REP.A026_A375_24H:L01
CHEMBL3298895,P14416,ENSP00000354859,REP.A026_HA1E_24H:L01
CHEMBL3298895,P14416,ENSP00000354859,REP.A026_HELA_24H:L01
CHEMBL3298895,P14416,ENSP00000354859,REP.A026_HT29_24H:L01
CHEMBL3298895,P14416,ENSP00000354859,REP.A026_MCF7_24H:L01
CHEMBL3298895,P14416,ENSP00000354859,REP.A026_PC3_24H:L01
CHEMBL3298895,P14416,ENSP00000354859,REP.A026_YAPC_24H:L01
CHEMBL325818,P14416,ENSP00000354859,REP.A027_A375_24H:N07
CHEMBL325818,P14416,ENSP00000354859,REP.A027_HA1E_24H:N07
CHEMBL325818,P14416,ENSP00000354859,REP.A027_HELA_24H:N07
CHEMBL325818,P14416,ENSP00000354859,REP.A027_HT29_24H:N07
CHEMBL325818,P14416,ENSP00000354859,REP.A027_MCF7_24H:N07
CHEMBL325818,P14416,ENSP00000354859,REP.A027_PC3_24H:N07
CHEMBL325818,P14416,ENSP00000354859,REP.A027_YAPC_24H:N07
CHEMBL372020,P14416,ENSP00000354859,REP.A027_A375_24H:N07
CHEMBL372020,P14416,ENSP00000354859,REP.A027_HA1E_24H:N07
CHEMBL372020,P14416,ENSP00000354859,REP.A027_HELA_24H:N07
CHEMBL372020,P14416,ENSP00000354859,REP.A027_HT29_24H:N07
CHEMBL372020,P14416,ENSP00000354859,REP.A027_MCF7_24H:N07
CHEMBL372020,P14416,ENSP00000354859,REP.A027_PC3_24H:N07
CHEMBL372020,P14416,ENSP00000354859,REP.A027_YAPC_24H:N07
CHEMBL325818,P14416,ENSP00000354859,REP.A005_A375_24H:F13
CHEMBL325818,P14416,ENSP00000354859,REP.A005_HA1E_24H:F13
CHEMBL325818,P14416,ENSP00000354859,REP.A005_HELA_24H:F13
CHEMBL325818,P14416,ENSP00000354859,REP.A005_HT29_24H:F13
CHEMBL325818,P14416,ENSP00000354859,REP.A005_MCF7_24H:F13
CHEMBL325818,P14416,ENSP00000354859,REP.A005_PC3_24H:F13
CHEMBL325818,P14416,ENSP00000354859,REP.A005_YAPC_24H:F13
CHEMBL372020,P14416,ENSP00000354859,REP.A005_A375_24H:F13
CHEMBL372020,P14416,ENSP00000354859,REP.A005_HA1E_24H:F13
CHEMBL372020,P14416,ENSP00000354859,REP.A005_HELA_24H:F13
CHEMBL372020,P14416,ENSP00000354859,REP.A005_HT29_24H:F13
CHEMBL372020,P14416,ENSP00000354859,REP.A005_MCF7_24H:F13
CHEMBL372020,P14416,ENSP00000354859,REP.A005_PC3_24H:F13
CHEMBL372020,P14416,ENSP00000354859,REP.A005_YAPC_24H:F13
CHEMBL325818,P14416,ENSP00000354859,REP.A001_A375_24H:H19
CHEMBL325818,P14416,ENSP00000354859,REP.A001_HA1E_24H:H19
CHEMBL325818,P14416,ENSP00000354859,REP.A001_HELA_24H:H19
CHEMBL325818,P14416,ENSP00000354859,REP.A001_HT29_24H:H19
CHEMBL325818,P14416,ENSP00000354859,REP.A001_MCF7_24H:H19
CHEMBL325818,P14416,ENSP00000354859,REP.A001_PC3_24H:H19
CHEMBL325818,P14416,ENSP00000354859,REP.A001_YAPC_24H:H19
CHEMBL372020,P14416,ENSP00000354859,REP.A001_A375_24H:H19
CHEMBL372020,P14416,ENSP00000354859,REP.A001_HA1E_24H:H19
CHEMBL372020,P14416,ENSP00000354859,REP.A001_HELA_24H:H19
CHEMBL372020,P14416,ENSP00000354859,REP.A001_HT29_24H:H19
CHEMBL372020,P14416,ENSP00000354859,REP.A001_MCF7_24H:H19
CHEMBL372020,P14416,ENSP00000354859,REP.A001_PC3_24H:H19
CHEMBL372020,P14416,ENSP00000354859,REP.A001_YAPC_24H:H19
CHEMBL252816,P14416,ENSP00000354859,REP.A001_A375_24H:H19
CHEMBL252816,P14416,ENSP00000354859,REP.A001_HA1E_24H:H19
CHEMBL252816,P14416,ENSP00000354859,REP.A001_HELA_24H:H19
CHEMBL252816,P14416,ENSP00000354859,REP.A001_HT29_24H:H19
CHEMBL252816,P14416,ENSP00000354859,REP.A001_MCF7_24H:H19
CHEMBL252816,P14416,ENSP00000354859,REP.A001_PC3_24H:H19
CHEMBL252816,P14416,ENSP00000354859,REP.A001_YAPC_24H:H19
