ensp_index,ensp_id
0,ENSP00000354859
1,ENSP00000381333
2,ENSP00000291281
3,ENSP00000430684
4,ENSP00000270349
5,ENSP00000358511
6,ENSP00000361475
7,ENSP00000324248
8,ENSP00000217305
9,ENSP00000378492
10,ENSP00000294016
11,ENSP00000261837
12,ENSP00000355316
13,ENSP00000264708
14,ENSP00000287641
15,ENSP00000242152
16,ENSP00000366233
17,ENSP00000342952
18,ENSP00000254235
19,ENSP00000297323
20,ENSP00000363596
21,ENSP00000286355
22,ENSP00000293897
23,ENSP00000358867
24,ENSP00000312999
25,ENSP00000311405
26,ENSP00000260600
27,ENSP00000350348
28,ENSP00000176183
29,ENSP00000363296
30,ENSP00000259455
31,ENSP00000344173
32,ENSP00000229264
33,ENSP00000371594
34,ENSP00000366248
35,ENSP00000394624
36,ENSP00000231188
37,ENSP00000284981
38,ENSP00000367869
39,ENSP00000265643
40,ENSP00000234961
41,ENSP00000265572
42,ENSP00000336764
43,ENSP00000379140
44,ENSP00000420194
45,ENSP00000308549
46,ENSP00000249284
47,ENSP00000306449
48,ENSP00000343027
49,ENSP00000381339
50,ENSP00000267377
51,ENSP00000386884
52,ENSP00000350198
53,ENSP00000265023
54,ENSP00000255008
55,ENSP00000354652
56,ENSP00000409378
57,ENSP00000316244
58,ENSP00000386069
59,ENSP00000349003
60,ENSP00000319984
61,ENSP00000342560
62,ENSP00000292303
63,ENSP00000276571
64,ENSP00000296099
65,ENSP00000411658
66,ENSP00000333821
67,ENSP00000327652
68,ENSP00000356213
69,ENSP00000369647
70,ENSP00000176195
71,ENSP00000306129
72,ENSP00000305372
73,ENSP00000253796
74,ENSP00000299766
75,ENSP00000337949
76,ENSP00000387662
77,ENSP00000331746
78,ENSP00000294117
79,ENSP00000248150
80,ENSP00000379514
81,ENSP00000358301
82,ENSP00000451605
83,ENSP00000237527
84,ENSP00000282091
85,ENSP00000243911
86,ENSP00000360141
87,ENSP00000256592
88,ENSP00000343782
89,ENSP00000254661
90,ENSP00000278175
91,ENSP00000318077
92,ENSP00000338072
93,ENSP00000242249
94,ENSP00000366970
95,ENSP00000355556
96,ENSP00000304501
97,ENSP00000350005
98,ENSP00000384708
99,ENSP00000360021
100,ENSP00000305260
101,ENSP00000327246
102,ENSP00000298171
103,ENSP00000254122
104,ENSP00000376177
105,ENSP00000221421
106,ENSP00000294954
107,ENSP00000320180
108,ENSP00000321999
109,ENSP00000248564
110,ENSP00000248572
111,ENSP00000234179
112,ENSP00000408695
113,ENSP00000263431
114,ENSP00000305355
115,ENSP00000333568
116,ENSP00000250559
117,ENSP00000348786
118,ENSP00000080059
119,ENSP00000387699
120,ENSP00000262053
121,ENSP00000329140
122,ENSP00000364349
123,ENSP00000264110
124,ENSP00000336790
125,ENSP00000350359
126,ENSP00000270139
127,ENSP00000338673
128,ENSP00000335153
129,ENSP00000375899
130,ENSP00000265686
131,ENSP00000291532
132,ENSP00000343990
133,ENSP00000234313
134,ENSP00000302177
135,ENSP00000411010
136,ENSP00000360266
137,ENSP00000273221
138,ENSP00000407761
139,ENSP00000219919
140,ENSP00000421689
141,ENSP00000261407
142,ENSP00000263265
143,ENSP00000234626
144,ENSP00000386443
145,ENSP00000408617
146,ENSP00000296557
147,ENSP00000289779
148,ENSP00000384863
149,ENSP00000262428
150,ENSP00000323780
151,ENSP00000345689
152,ENSP00000431603
153,ENSP00000308361
154,ENSP00000352929
155,ENSP00000216181
156,ENSP00000356236
157,ENSP00000304697
158,ENSP00000344818
159,ENSP00000248975
160,ENSP00000320949
161,ENSP00000350297
162,ENSP00000267113
163,ENSP00000320050
164,ENSP00000398698
165,ENSP00000216797
166,ENSP00000384273
167,ENSP00000226574
168,ENSP00000271015
169,ENSP00000359424
170,ENSP00000358335
171,ENSP00000312988
172,ENSP00000263125
173,ENSP00000162749
174,ENSP00000263464
175,ENSP00000358983
176,ENSP00000249647
177,ENSP00000247668
178,ENSP00000339527
179,ENSP00000337853
180,ENSP00000270202
181,ENSP00000286332
182,ENSP00000401399
183,ENSP00000216160
184,ENSP00000295025
185,ENSP00000359206
186,ENSP00000298552
187,ENSP00000319279
188,ENSP00000351273
189,ENSP00000237289
190,ENSP00000227758
191,ENSP00000363089
192,ENSP00000321203
193,ENSP00000382423
194,ENSP00000260010
195,ENSP00000354158
196,ENSP00000326804
197,ENSP00000358997
198,ENSP00000394227
199,ENSP00000401980
200,ENSP00000354927
201,ENSP00000259808
202,ENSP00000296795
203,ENSP00000361359
204,ENSP00000341268
205,ENSP00000306124
206,ENSP00000381698
207,ENSP00000354932
208,ENSP00000275015
209,ENSP00000308928
210,ENSP00000371376
211,ENSP00000304895
212,ENSP00000172229
213,ENSP00000348632
214,ENSP00000315112
215,ENSP00000316176
216,ENSP00000347858
217,ENSP00000264731
218,ENSP00000384053
219,ENSP00000301838
220,ENSP00000360215
221,ENSP00000351789
222,ENSP00000374455
223,ENSP00000367830
224,ENSP00000261313
225,ENSP00000215574
226,ENSP00000338345
227,ENSP00000298472
228,ENSP00000222812
229,ENSP00000370571
230,ENSP00000365569
231,ENSP00000378368
232,ENSP00000261769
233,ENSP00000381412
234,ENSP00000373169
235,ENSP00000354511
236,ENSP00000379098
237,ENSP00000350616
238,ENSP00000376776
239,ENSP00000340684
240,ENSP00000367309
241,ENSP00000261401
242,ENSP00000250018
243,ENSP00000276198
244,ENSP00000276373
245,ENSP00000349465
246,ENSP00000367959
247,ENSP00000414303
248,ENSP00000344479
249,ENSP00000359019
250,ENSP00000359285
251,ENSP00000358963
252,ENSP00000340278
253,ENSP00000364204
254,ENSP00000338606
255,ENSP00000378890
256,ENSP00000409007
257,ENSP00000254976
258,ENSP00000360798
259,ENSP00000363229
260,ENSP00000321805
261,ENSP00000269886
262,ENSP00000327214
263,ENSP00000378332
264,ENSP00000293330
265,ENSP00000280155
266,ENSP00000250498
267,ENSP00000288309
