sig_index,sig_id
0,2
1,REP.A001_A375_24H:B07
2,REP.A001_A375_24H:B13
3,REP.A001_A375_24H:C01
4,REP.A001_A375_24H:C07
5,REP.A001_A375_24H:D07
6,REP.A001_A375_24H:D13
7,REP.A001_A375_24H:D19
8,REP.A001_A375_24H:E01
9,REP.A001_A375_24H:E07
10,REP.A001_A375_24H:E13
11,REP.A001_A375_24H:G01
12,REP.A001_A375_24H:H01
13,REP.A001_A375_24H:H13
14,REP.A001_A375_24H:H19
15,REP.A001_A375_24H:I01
16,REP.A001_A375_24H:I07
17,REP.A001_A375_24H:I13
18,REP.A001_A375_24H:J19
19,REP.A001_A375_24H:K01
20,REP.A001_A375_24H:L13
21,REP.A001_A375_24H:M07
22,REP.A001_A375_24H:M13
23,REP.A001_A375_24H:N01
24,REP.A001_A375_24H:N13
25,REP.A001_A375_24H:P01
26,REP.A001_A375_24H:P07
27,REP.A001_A375_24H:P13
28,REP.A001_HA1E_24H:B07
29,REP.A001_HA1E_24H:B13
30,REP.A001_HA1E_24H:C01
31,REP.A001_HA1E_24H:C07
32,REP.A001_HA1E_24H:D07
33,REP.A001_HA1E_24H:D13
34,REP.A001_HA1E_24H:D19
35,REP.A001_HA1E_24H:E01
36,REP.A001_HA1E_24H:E07
37,REP.A001_HA1E_24H:E13
38,REP.A001_HA1E_24H:H01
39,REP.A001_HA1E_24H:H13
40,REP.A001_HA1E_24H:H19
41,REP.A001_HA1E_24H:I01
42,REP.A001_HA1E_24H:I07
43,REP.A001_HA1E_24H:I13
44,REP.A001_HA1E_24H:J19
45,REP.A001_HA1E_24H:K01
46,REP.A001_HA1E_24H:L13
47,REP.A001_HA1E_24H:M07
48,REP.A001_HA1E_24H:M13
49,REP.A001_HA1E_24H:N01
50,REP.A001_HA1E_24H:N13
51,REP.A001_HA1E_24H:P01
52,REP.A001_HA1E_24H:P07
53,REP.A001_HA1E_24H:P13
54,REP.A001_HELA_24H:B07
55,REP.A001_HELA_24H:B13
56,REP.A001_HELA_24H:C01
57,REP.A001_HELA_24H:C07
58,REP.A001_HELA_24H:D07
59,REP.A001_HELA_24H:D13
60,REP.A001_HELA_24H:D19
61,REP.A001_HELA_24H:E01
62,REP.A001_HELA_24H:E07
63,REP.A001_HELA_24H:E13
64,REP.A001_HELA_24H:H01
65,REP.A001_HELA_24H:H13
66,REP.A001_HELA_24H:H19
67,REP.A001_HELA_24H:I01
68,REP.A001_HELA_24H:I07
69,REP.A001_HELA_24H:I13
70,REP.A001_HELA_24H:J19
71,REP.A001_HELA_24H:K01
72,REP.A001_HELA_24H:L13
73,REP.A001_HELA_24H:M07
74,REP.A001_HELA_24H:M13
75,REP.A001_HELA_24H:N01
76,REP.A001_HELA_24H:N13
77,REP.A001_HELA_24H:P01
78,REP.A001_HELA_24H:P07
79,REP.A001_HELA_24H:P13
80,REP.A001_HT29_24H:B07
81,REP.A001_HT29_24H:B13
82,REP.A001_HT29_24H:C01
83,REP.A001_HT29_24H:C07
84,REP.A001_HT29_24H:D07
85,REP.A001_HT29_24H:D13
86,REP.A001_HT29_24H:D19
87,REP.A001_HT29_24H:E01
88,REP.A001_HT29_24H:E07
89,REP.A001_HT29_24H:E13
90,REP.A001_HT29_24H:G01
91,REP.A001_HT29_24H:H01
92,REP.A001_HT29_24H:H13
93,REP.A001_HT29_24H:H19
94,REP.A001_HT29_24H:I01
95,REP.A001_HT29_24H:I07
96,REP.A001_HT29_24H:I13
97,REP.A001_HT29_24H:J19
98,REP.A001_HT29_24H:K01
99,REP.A001_HT29_24H:L13
100,REP.A001_HT29_24H:M07
101,REP.A001_HT29_24H:M13
102,REP.A001_HT29_24H:N01
103,REP.A001_HT29_24H:N13
104,REP.A001_HT29_24H:P01
105,REP.A001_HT29_24H:P07
106,REP.A001_HT29_24H:P13
107,REP.A001_MCF7_24H:B07
108,REP.A001_MCF7_24H:B13
109,REP.A001_MCF7_24H:C01
110,REP.A001_MCF7_24H:C07
111,REP.A001_MCF7_24H:D07
112,REP.A001_MCF7_24H:D13
113,REP.A001_MCF7_24H:D19
114,REP.A001_MCF7_24H:E01
115,REP.A001_MCF7_24H:E07
116,REP.A001_MCF7_24H:E13
117,REP.A001_MCF7_24H:G01
118,REP.A001_MCF7_24H:H01
119,REP.A001_MCF7_24H:H13
120,REP.A001_MCF7_24H:H19
121,REP.A001_MCF7_24H:I07
122,REP.A001_MCF7_24H:J19
123,REP.A001_MCF7_24H:K01
124,REP.A001_MCF7_24H:L13
125,REP.A001_MCF7_24H:M07
126,REP.A001_MCF7_24H:M13
127,REP.A001_MCF7_24H:N01
128,REP.A001_MCF7_24H:N13
129,REP.A001_MCF7_24H:P01
130,REP.A001_MCF7_24H:P07
131,REP.A001_MCF7_24H:P13
132,REP.A001_MCF7_24H:I01
133,REP.A001_MCF7_24H:I13
134,REP.A001_PC3_24H:B07
135,REP.A001_PC3_24H:B13
136,REP.A001_PC3_24H:C01
137,REP.A001_PC3_24H:C07
138,REP.A001_PC3_24H:D07
