protein1,protein2,combined_score
ENSP00000000233,ENSP00000272298,490
ENSP00000000233,ENSP00000253401,198
ENSP00000000233,ENSP00000401445,159
ENSP00000000233,ENSP00000418915,606
ENSP00000000233,ENSP00000327801,167
ENSP00000000233,ENSP00000466298,267
ENSP00000000233,ENSP00000232564,201
ENSP00000000233,ENSP00000393379,150
ENSP00000000233,ENSP00000371253,240
ENSP00000000233,ENSP00000373713,271
ENSP00000000233,ENSP00000248929,157
ENSP00000000233,ENSP00000356737,418
ENSP00000000233,ENSP00000338766,278
ENSP00000000233,ENSP00000386135,185
ENSP00000000233,ENSP00000319192,185
ENSP00000000233,ENSP00000432568,909
ENSP00000000233,ENSP00000427900,910
ENSP00000000233,ENSP00000380271,182
ENSP00000000233,ENSP00000256935,205
ENSP00000000233,ENSP00000416750,185
ENSP00000000233,ENSP00000387536,154
ENSP00000000233,ENSP00000378332,166
ENSP00000000233,ENSP00000350052,179
ENSP00000000233,ENSP00000343656,182
ENSP00000000233,ENSP00000350199,751
ENSP00000000233,ENSP00000265967,280
ENSP00000000233,ENSP00000367629,192
ENSP00000000233,ENSP00000416673,186
ENSP00000000233,ENSP00000398481,297
ENSP00000000233,ENSP00000387246,205
ENSP00000000233,ENSP00000369784,168
ENSP00000000233,ENSP00000334051,191
ENSP00000000233,ENSP00000383118,365
ENSP00000000233,ENSP00000357494,159
ENSP00000000233,ENSP00000355388,184
ENSP00000000233,ENSP00000438085,614
ENSP00000000233,ENSP00000363571,159
ENSP00000000233,ENSP00000355589,188
ENSP00000000233,ENSP00000221543,156
ENSP00000000233,ENSP00000482835,575
ENSP00000000233,ENSP00000354878,910
ENSP00000000233,ENSP00000385571,161
ENSP00000000233,ENSP00000297837,175
ENSP00000000233,ENSP00000229812,201
ENSP00000000233,ENSP00000310521,437
ENSP00000000233,ENSP00000369855,175
ENSP00000000233,ENSP00000274457,157
ENSP00000000233,ENSP00000368818,176
ENSP00000000233,ENSP00000315713,154
ENSP00000000233,ENSP00000422607,153
ENSP00000000233,ENSP00000279387,387
ENSP00000000233,ENSP00000259818,178
ENSP00000000233,ENSP00000405926,906
ENSP00000000233,ENSP00000350409,243
ENSP00000000233,ENSP00000243298,165
ENSP00000000233,ENSP00000379256,209
ENSP00000000233,ENSP00000355924,273
ENSP00000000233,ENSP00000263207,150
ENSP00000000233,ENSP00000355964,176
ENSP00000000233,ENSP00000279281,223
ENSP00000000233,ENSP00000324127,277
ENSP00000000233,ENSP00000215659,177
ENSP00000000233,ENSP00000341071,192
ENSP00000000233,ENSP00000264710,154
ENSP00000000233,ENSP00000418754,192
ENSP00000000233,ENSP00000325074,197
ENSP00000000233,ENSP00000393541,302
ENSP00000000233,ENSP00000358335,159
ENSP00000000233,ENSP00000267199,171
ENSP00000000233,ENSP00000247226,174
ENSP00000000233,ENSP00000377936,197
ENSP00000000233,ENSP00000253754,166
ENSP00000000233,ENSP00000344871,189
ENSP00000000233,ENSP00000264972,167
ENSP00000000233,ENSP00000450730,159
ENSP00000000233,ENSP00000281092,159
ENSP00000000233,ENSP00000404676,248
ENSP00000000233,ENSP00000280700,304
ENSP00000000233,ENSP00000314615,971
ENSP00000000233,ENSP00000303192,182
ENSP00000000233,ENSP00000266037,200
ENSP00000000233,ENSP00000417610,157
ENSP00000000233,ENSP00000394487,192
ENSP00000000233,ENSP00000394888,192
ENSP00000000233,ENSP00000282728,288
ENSP00000000233,ENSP00000349588,915
ENSP00000000233,ENSP00000345230,176
ENSP00000000233,ENSP00000326031,573
ENSP00000000233,ENSP00000362680,340
ENSP00000000233,ENSP00000056217,192
ENSP00000000233,ENSP00000378217,199
ENSP00000000233,ENSP00000355866,154
ENSP00000000233,ENSP00000356234,261
ENSP00000000233,ENSP00000354871,176
ENSP00000000233,ENSP00000326366,164
ENSP00000000233,ENSP00000307134,150
ENSP00000000233,ENSP00000356540,211
ENSP00000000233,ENSP00000269856,157
ENSP00000000233,ENSP00000414982,905
ENSP00000000233,ENSP00000285735,194
ENSP00000000233,ENSP00000464030,159
ENSP00000000233,ENSP00000404570,181
ENSP00000000233,ENSP00000458075,192
ENSP00000000233,ENSP00000346160,184
ENSP00000000233,ENSP00000276925,191
ENSP00000000233,ENSP00000480707,927
ENSP00000000233,ENSP00000349291,168
ENSP00000000233,ENSP00000376132,244
ENSP00000000233,ENSP00000265140,213
ENSP00000000233,ENSP00000215941,175
ENSP00000000233,ENSP00000363207,219
ENSP00000000233,ENSP00000296518,161
ENSP00000000233,ENSP00000324020,914
ENSP00000000233,ENSP00000277458,175
ENSP00000000233,ENSP00000259711,155
ENSP00000000233,ENSP00000279068,169
ENSP00000000233,ENSP00000300087,902
ENSP00000000233,ENSP00000268919,912
ENSP00000000233,ENSP00000483786,209
ENSP00000000233,ENSP00000256953,218
ENSP00000000233,ENSP00000353104,387
ENSP00000000233,ENSP00000384164,911
ENSP00000000233,ENSP00000319781,276
ENSP00000000233,ENSP00000344220,187
ENSP00000000233,ENSP00000388878,912
ENSP00000000233,ENSP00000262032,166
ENSP00000000233,ENSP00000317955,276
ENSP00000000233,ENSP00000258739,922
ENSP00000000233,ENSP00000451575,175
ENSP00000000233,ENSP00000292539,157
ENSP00000000233,ENSP00000392513,219
ENSP00000000233,ENSP00000310491,209
ENSP00000000233,ENSP00000313600,151
ENSP00000000233,ENSP00000301037,367
ENSP00000000233,ENSP00000337040,172
ENSP00000000233,ENSP00000354432,175
ENSP00000000233,ENSP00000226207,181
ENSP00000000233,ENSP00000420849,154
ENSP00000000233,ENSP00000313869,319
ENSP00000000233,ENSP00000310226,932
ENSP00000000233,ENSP00000216144,150
ENSP00000000233,ENSP00000394484,185
ENSP00000000233,ENSP00000364742,154
ENSP00000000233,ENSP00000361475,243
ENSP00000000233,ENSP00000316329,223
ENSP00000000233,ENSP00000298552,183
ENSP00000000233,ENSP00000439189,179
ENSP00000000233,ENSP00000222812,199
ENSP00000000233,ENSP00000298630,150
ENSP00000000233,ENSP00000261537,183
ENSP00000000233,ENSP00000359073,185
ENSP00000000233,ENSP00000358753,170
ENSP00000000233,ENSP00000382428,167
ENSP00000000233,ENSP00000262848,160
ENSP00000000233,ENSP00000432660,221
ENSP00000000233,ENSP00000337691,177
ENSP00000000233,ENSP00000304669,327
ENSP00000000233,ENSP00000298910,385
ENSP00000000233,ENSP00000306752,192
ENSP00000000233,ENSP00000357087,154
ENSP00000000233,ENSP00000346762,653
ENSP00000000233,ENSP00000415332,186
ENSP00000000233,ENSP00000294618,192
ENSP00000000233,ENSP00000311684,324
ENSP00000000233,ENSP00000360183,159
ENSP00000000233,ENSP00000377971,175
ENSP00000000233,ENSP00000357879,307
ENSP00000000233,ENSP00000261813,173
ENSP00000000233,ENSP00000384869,264
ENSP00000000233,ENSP00000286548,217
ENSP00000000233,ENSP00000303145,925
ENSP00000000233,ENSP00000306015,166
ENSP00000000233,ENSP00000320935,154
ENSP00000000233,ENSP00000275493,238
ENSP00000000233,ENSP00000305260,320
ENSP00000000233,ENSP00000358994,187
ENSP00000000233,ENSP00000377075,213
ENSP00000000233,ENSP00000302486,216
ENSP00000000233,ENSP00000468354,175
ENSP00000000233,ENSP00000324806,214
ENSP00000000233,ENSP00000369126,260
ENSP00000000233,ENSP00000468367,365
ENSP00000000233,ENSP00000364864,914
ENSP00000000233,ENSP00000220509,165
ENSP00000000233,ENSP00000367407,259
ENSP00000000233,ENSP00000420211,194
ENSP00000000233,ENSP00000451263,159
ENSP00000000233,ENSP00000254854,191
ENSP00000000233,ENSP00000339381,200
ENSP00000000233,ENSP00000401770,189
ENSP00000000233,ENSP00000263923,161
ENSP00000000233,ENSP00000306678,159
ENSP00000000233,ENSP00000260385,158
ENSP00000000233,ENSP00000222390,257
ENSP00000000233,ENSP00000404190,906
ENSP00000000233,ENSP00000258301,265
ENSP00000000233,ENSP00000217233,154
ENSP00000000233,ENSP00000356853,167
ENSP00000000233,ENSP00000412763,159
ENSP00000000233,ENSP00000012443,216
ENSP00000000233,ENSP00000379386,403
ENSP00000000233,ENSP00000360124,158
ENSP00000000233,ENSP00000370912,159
ENSP00000000233,ENSP00000263373,904
ENSP00000000233,ENSP00000265970,192
ENSP00000000233,ENSP00000359000,956
ENSP00000000233,ENSP00000316845,215
ENSP00000000233,ENSP00000163416,269
ENSP00000000233,ENSP00000261263,222
ENSP00000000233,ENSP00000216797,178
ENSP00000000233,ENSP00000367952,242
ENSP00000000233,ENSP00000314649,411
ENSP00000000233,ENSP00000295888,159
ENSP00000000233,ENSP00000380413,222
ENSP00000000233,ENSP00000270176,178
ENSP00000000233,ENSP00000291906,199
ENSP00000000233,ENSP00000442973,203
ENSP00000000233,ENSP00000331678,150
ENSP00000000233,ENSP00000264454,265
ENSP00000000233,ENSP00000363970,150
ENSP00000000233,ENSP00000292807,218
ENSP00000000233,ENSP00000360195,157
ENSP00000000233,ENSP00000261891,185
ENSP00000000233,ENSP00000376306,274
ENSP00000000233,ENSP00000385885,166
ENSP00000000233,ENSP00000329127,199
ENSP00000000233,ENSP00000291823,161
ENSP00000000233,ENSP00000258526,163
ENSP00000000233,ENSP00000272427,222
ENSP00000000233,ENSP00000219204,165
ENSP00000000233,ENSP00000380308,902
ENSP00000000233,ENSP00000343273,159
ENSP00000000233,ENSP00000225174,164
ENSP00000000233,ENSP00000265062,400
ENSP00000000233,ENSP00000354032,153
ENSP00000000233,ENSP00000480359,166
ENSP00000000233,ENSP00000294964,159
ENSP00000000233,ENSP00000365312,179
ENSP00000000233,ENSP00000481721,156
ENSP00000000233,ENSP00000380432,902
ENSP00000000233,ENSP00000297044,966
ENSP00000000233,ENSP00000296859,182
ENSP00000000233,ENSP00000285039,244
ENSP00000000233,ENSP00000340274,187
ENSP00000000233,ENSP00000384192,196
ENSP00000000233,ENSP00000261332,176
ENSP00000000233,ENSP00000251157,192
ENSP00000000233,ENSP00000370719,353
ENSP00000000233,ENSP00000351338,163
ENSP00000000233,ENSP00000379678,158
ENSP00000000233,ENSP00000272217,215
ENSP00000000233,ENSP00000387784,215
ENSP00000000233,ENSP00000401010,914
ENSP00000000233,ENSP00000374409,150
ENSP00000000233,ENSP00000365773,403
ENSP00000000233,ENSP00000392718,179
ENSP00000000233,ENSP00000211287,177
ENSP00000000233,ENSP00000282397,178
ENSP00000000233,ENSP00000279024,186
ENSP00000000233,ENSP00000264644,182
ENSP00000000233,ENSP00000242285,196
ENSP00000000233,ENSP00000321826,157
ENSP00000000233,ENSP00000262305,821
ENSP00000000233,ENSP00000466248,190
ENSP00000000233,ENSP00000347134,192
ENSP00000000233,ENSP00000356243,156
ENSP00000000233,ENSP00000485140,219
ENSP00000000233,ENSP00000274376,198
ENSP00000000233,ENSP00000054666,393
ENSP00000000233,ENSP00000369755,661
ENSP00000000233,ENSP00000285208,372
ENSP00000000233,ENSP00000324287,761
ENSP00000000233,ENSP00000274311,150
ENSP00000000233,ENSP00000348828,202
ENSP00000000233,ENSP00000232975,368
ENSP00000000233,ENSP00000406209,181
ENSP00000000233,ENSP00000306330,207
ENSP00000000233,ENSP00000399259,156
ENSP00000000233,ENSP00000264712,912
ENSP00000000233,ENSP00000358309,177
ENSP00000000233,ENSP00000468002,157
ENSP00000000233,ENSP00000386538,172
ENSP00000000233,ENSP00000381377,169
ENSP00000000233,ENSP00000233616,167
ENSP00000000233,ENSP00000366283,164
ENSP00000000233,ENSP00000354201,164
ENSP00000000233,ENSP00000289153,192
ENSP00000000233,ENSP00000332247,156
ENSP00000000233,ENSP00000344961,192
ENSP00000000233,ENSP00000390783,230
ENSP00000000233,ENSP00000377508,174
ENSP00000000233,ENSP00000357651,182
ENSP00000000233,ENSP00000446917,203
ENSP00000000233,ENSP00000385995,355
ENSP00000000233,ENSP00000359370,189
ENSP00000000233,ENSP00000382492,192
ENSP00000000233,ENSP00000264167,184
ENSP00000000233,ENSP00000351905,159
ENSP00000000233,ENSP00000379712,633
ENSP00000000233,ENSP00000435370,171
ENSP00000000233,ENSP00000273130,900
ENSP00000000233,ENSP00000347979,160
ENSP00000000233,ENSP00000209728,212
ENSP00000000233,ENSP00000262030,179
ENSP00000000233,ENSP00000362139,159
ENSP00000000233,ENSP00000354560,900
ENSP00000000233,ENSP00000259371,169
ENSP00000000233,ENSP00000257863,159
ENSP00000000233,ENSP00000263967,192
ENSP00000000233,ENSP00000378306,184
ENSP00000000233,ENSP00000324422,157
ENSP00000000233,ENSP00000251170,156
ENSP00000000233,ENSP00000166244,159
ENSP00000000233,ENSP00000400906,156
ENSP00000000233,ENSP00000368464,173
ENSP00000000233,ENSP00000431885,159
ENSP00000000233,ENSP00000357048,932
ENSP00000000233,ENSP00000377664,207
ENSP00000000233,ENSP00000225724,197
ENSP00000000233,ENSP00000232461,203
ENSP00000000233,ENSP00000293970,313
ENSP00000000233,ENSP00000260600,160
ENSP00000000233,ENSP00000314556,157
ENSP00000000233,ENSP00000379412,179
ENSP00000000233,ENSP00000481038,202
ENSP00000000233,ENSP00000317272,280
ENSP00000000233,ENSP00000263634,175
ENSP00000000233,ENSP00000364579,156
ENSP00000000233,ENSP00000342105,161
ENSP00000000233,ENSP00000484912,186
ENSP00000000233,ENSP00000269051,166
ENSP00000000233,ENSP00000386857,178
ENSP00000000233,ENSP00000343144,267
ENSP00000000233,ENSP00000300896,261
ENSP00000000233,ENSP00000339179,154
ENSP00000000233,ENSP00000376475,220
ENSP00000000233,ENSP00000331504,159
ENSP00000000233,ENSP00000339916,159
ENSP00000000233,ENSP00000356379,199
ENSP00000000233,ENSP00000347802,157
ENSP00000000233,ENSP00000326342,159
ENSP00000000233,ENSP00000369081,164
ENSP00000000233,ENSP00000315299,498
ENSP00000000233,ENSP00000217188,159
ENSP00000000233,ENSP00000364133,159
ENSP00000000233,ENSP00000222345,188
ENSP00000000233,ENSP00000222402,184
ENSP00000000233,ENSP00000377233,585
ENSP00000000233,ENSP00000378624,171
ENSP00000000233,ENSP00000312988,175
ENSP00000000233,ENSP00000234313,393
ENSP00000000233,ENSP00000464342,202
ENSP00000000233,ENSP00000402515,192
ENSP00000000233,ENSP00000268035,167
ENSP00000000233,ENSP00000339467,296
ENSP00000000233,ENSP00000318197,168
ENSP00000000233,ENSP00000245796,386
ENSP00000000233,ENSP00000270112,189
ENSP00000000233,ENSP00000309036,178
ENSP00000000233,ENSP00000223369,927
ENSP00000000233,ENSP00000360613,250
ENSP00000000233,ENSP00000275815,159
ENSP00000000233,ENSP00000380530,154
ENSP00000000233,ENSP00000373399,174
ENSP00000000233,ENSP00000323687,164
ENSP00000000233,ENSP00000256383,163
ENSP00000000233,ENSP00000388996,371
ENSP00000000233,ENSP00000249923,957
ENSP00000000233,ENSP00000431284,166
ENSP00000000233,ENSP00000480301,831
ENSP00000000233,ENSP00000455507,277
ENSP00000000233,ENSP00000355237,159
ENSP00000000233,ENSP00000341083,201
ENSP00000000233,ENSP00000296127,243
ENSP00000000233,ENSP00000448696,218
ENSP00000000233,ENSP00000378356,911
ENSP00000000233,ENSP00000379891,412
ENSP00000000233,ENSP00000261558,203
ENSP00000000233,ENSP00000225972,159
ENSP00000000233,ENSP00000303570,157
ENSP00000000233,ENSP00000388169,177
ENSP00000000233,ENSP00000308430,195
ENSP00000000233,ENSP00000382341,167
ENSP00000000233,ENSP00000361057,909
ENSP00000000233,ENSP00000328923,157
ENSP00000000233,ENSP00000357869,458
ENSP00000000233,ENSP00000346599,171
ENSP00000000233,ENSP00000373979,244
ENSP00000000233,ENSP00000377280,339
ENSP00000000233,ENSP00000282356,197
ENSP00000000233,ENSP00000483825,214
ENSP00000000233,ENSP00000267339,175
ENSP00000000233,ENSP00000262719,187
ENSP00000000233,ENSP00000352882,163
ENSP00000000233,ENSP00000434033,188
ENSP00000000233,ENSP00000361636,306
ENSP00000000233,ENSP00000262646,156
ENSP00000000233,ENSP00000386041,181
ENSP00000000233,ENSP00000283426,316
ENSP00000000233,ENSP00000308351,159
ENSP00000000233,ENSP00000443191,153
ENSP00000000233,ENSP00000359045,156
ENSP00000000233,ENSP00000251102,153
ENSP00000000233,ENSP00000318884,160
ENSP00000000233,ENSP00000310551,265
ENSP00000000233,ENSP00000341344,859
ENSP00000000233,ENSP00000397453,156
ENSP00000000233,ENSP00000364631,192
ENSP00000000233,ENSP00000379210,325
ENSP00000000233,ENSP00000358867,208
ENSP00000000233,ENSP00000296526,315
ENSP00000000233,ENSP00000229795,177
ENSP00000000233,ENSP00000264718,208
ENSP00000000233,ENSP00000394085,170
ENSP00000000233,ENSP00000432016,201
ENSP00000000233,ENSP00000444645,202
ENSP00000000233,ENSP00000369538,209
ENSP00000000233,ENSP00000314036,182
ENSP00000000233,ENSP00000226284,296
ENSP00000000233,ENSP00000308772,175
ENSP00000000233,ENSP00000279488,173
ENSP00000000233,ENSP00000273666,157
ENSP00000000233,ENSP00000428209,155
ENSP00000000233,ENSP00000381293,151
