Protein,idx
ENSP00000401802,15622
ENSP00000327009,7337
ENSP00000265171,3025
ENSP00000384164,14509
ENSP00000385751,14696
ENSP00000467024,18226
ENSP00000334246,7988
ENSP00000322181,6948
ENSP00000361646,11411
ENSP00000307634,5790
ENSP00000417602,16332
ENSP00000323036,7018
ENSP00000318142,6627
ENSP00000352561,9709
ENSP00000237696,1148
ENSP00000272452,3488
ENSP00000354718,9970
ENSP00000250863,1597
ENSP00000303356,5404
ENSP00000234091,1071
ENSP00000294258,4516
ENSP00000298556,4954
ENSP00000219070,517
ENSP00000265732,3096
ENSP00000334808,8043
ENSP00000356857,10423
ENSP00000301732,5242
ENSP00000222567,693
ENSP00000364691,12026
ENSP00000358238,10727
ENSP00000348215,9255
ENSP00000340596,8506
ENSP00000280772,3850
ENSP00000251047,1604
ENSP00000242480,1277
ENSP00000359128,10904
ENSP00000397157,15390
ENSP00000243052,1294
ENSP00000364742,12034
ENSP00000484105,19195
ENSP00000283713,4006
ENSP00000362649,11654
ENSP00000223369,739
ENSP00000457703,17977
ENSP00000302569,5319
ENSP00000285093,4073
ENSP00000367104,12401
ENSP00000355589,10152
ENSP00000330051,7598
ENSP00000326227,7272
ENSP00000399696,15505
ENSP00000245304,1381
ENSP00000457258,17960
ENSP00000262494,2549
ENSP00000368752,12646
ENSP00000298229,4921
ENSP00000399403,15490
ENSP00000326570,7305
ENSP00000247001,1462
ENSP00000339191,8378
ENSP00000290374,4314
ENSP00000360593,11211
ENSP00000340836,8528
ENSP00000353414,9798
ENSP00000303192,5392
ENSP00000380365,14084
ENSP00000274710,3609
ENSP00000478320,18667
ENSP00000388731,14991
ENSP00000248643,1521
ENSP00000323929,7099
ENSP00000307280,5762
ENSP00000309714,5983
ENSP00000279575,3803
ENSP00000415556,16210
ENSP00000371193,13027
ENSP00000448182,17658
ENSP00000229633,932
ENSP00000313140,6292
ENSP00000384222,14521
ENSP00000346839,9105
ENSP00000362047,11506
ENSP00000363398,11802
ENSP00000409016,15923
ENSP00000356925,10436
ENSP00000255078,1863
ENSP00000352438,9695
ENSP00000359285,10933
ENSP00000300061,5079
ENSP00000386226,14773
ENSP00000450864,17736
ENSP00000233616,1050
ENSP00000321927,6931
ENSP00000362186,11550
ENSP00000380185,14058
ENSP00000358931,10867
ENSP00000319664,6747
ENSP00000482358,19032
ENSP00000184266,197
ENSP00000361918,11479
ENSP00000334840,8047
ENSP00000264079,2829
ENSP00000235382,1108
ENSP00000356832,10416
ENSP00000318016,6614
ENSP00000401564,15609
ENSP00000381198,14210
ENSP00000337501,8243
ENSP00000061240,98
ENSP00000368771,12652
ENSP00000477695,18611
ENSP00000441065,17384
ENSP00000471417,18376
ENSP00000297737,4885
ENSP00000217133,455
ENSP00000377779,13676
ENSP00000314036,6357
ENSP00000379110,13881
ENSP00000274963,3623
ENSP00000295824,4651
ENSP00000485450,19315
ENSP00000349781,9414
ENSP00000229390,924
ENSP00000396467,15354
ENSP00000292303,4410
ENSP00000257910,2040
ENSP00000378028,13712
ENSP00000390158,15070
ENSP00000288207,4221
ENSP00000216336,404
ENSP00000341198,8571
ENSP00000362824,11697
ENSP00000266087,3144
ENSP00000372654,13178
ENSP00000296795,4792
ENSP00000362469,11615
ENSP00000381072,14191
ENSP00000369774,12823
ENSP00000311962,6189
ENSP00000365687,12180
ENSP00000478319,18666
ENSP00000219204,524
ENSP00000419378,16453
ENSP00000262053,2454
ENSP00000265140,3020
ENSP00000270225,3388
ENSP00000323074,7024
ENSP00000230050,946
ENSP00000380034,14031
ENSP00000366927,12362
ENSP00000360317,11158
ENSP00000341189,8570
